time,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-misses,branches,bus-cycles,cache-misses,cache-references,context-switches,cpu-clock,cycles,dTLB-load-misses,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,instructions,minor-faults,node-load-misses,node-loads,node-store-misses,node-stores,page-faults,ref-cycles,task-clock,label
25.00670719,91145922.0,1200697325.0,849702245.0,73523.0,2597.0,60492504.0,2510.0,16722156.0,7997691.0,7861336.0,605012232.0,99548637.0,5206.0,77334502.0,0.0,1000.2367630000001,2588287963.0,1407304.0,1278.0,848295553.0,2497.0,630.0,4031641944.0,0.0,2038.0,506.0,513.0,2001.0,0.0,2588579058.0,1000.236718,2
26.006966484,91250237.0,1195036747.0,845019447.0,73438.0,2439.0,60446938.0,2509.0,16690469.0,8208112.0,8038692.0,604699524.0,99550848.0,4979.0,77331370.0,0.0,1000.258355,2588337001.0,1700770.0,1275.0,846652770.0,7852.0,617.0,4032719321.0,20.0,1932.0,425.0,538.0,2063.0,20.0,2588642549.0,1000.258386,2
27.007220249,91094092.0,1192759930.0,846378611.0,77232.0,2501.0,60491723.0,2542.0,16701610.0,8283654.0,8233514.0,602869395.0,99545742.0,5013.0,77256306.0,1.0,1000.225502,2588220714.0,1809451.0,2634.0,846767333.0,7827.0,820.0,4013207728.0,0.0,2077.0,465.0,486.0,2014.0,0.0,2588516994.0,1000.2256279999999,2
28.007476973000003,91212462.0,1203847482.0,849174790.0,74964.0,2681.0,60580964.0,2436.0,16732983.0,9185058.0,8833402.0,603757064.0,99548803.0,5226.0,77247787.0,0.0,1000.2415619999999,2588274749.0,834411.0,931.0,852305870.0,4705.0,695.0,4018841577.0,0.0,2088.0,513.0,513.0,2101.0,0.0,2588505484.0,1000.2415269999999,2
29.00772951,91264845.0,1200025143.0,847855870.0,73181.0,2563.0,60504803.0,2551.0,16694575.0,7164615.0,7406701.0,605749097.0,99549352.0,5224.0,77414405.0,0.0,1000.237431,2588337634.0,2273897.0,3088.0,845481733.0,4351.0,625.0,4037470672.0,0.0,2157.0,769.0,454.0,1985.0,0.0,2588698272.0,1000.237375,2
1.000513094,91468180.0,1210545730.0,851910765.0,81912.0,15667.0,60443293.0,2434.0,16662447.0,6894431.0,7192608.0,607001356.0,99562341.0,18684.0,77288600.0,0.0,1000.3511609999999,2588619403.0,1174162.0,889.0,854327337.0,2396.0,9.0,4040613811.0,0.0,2091.0,12308.0,347.0,2153.0,0.0,2588887456.0,1000.351613,2
2.00083943,91005466.0,1211630550.0,855138335.0,76179.0,13935.0,60460523.0,2399.0,16679147.0,7217459.0,7147215.0,608395363.0,99552541.0,18431.0,77198760.0,0.0,1000.309871,2588408304.0,1017463.0,963.0,854750161.0,2345.0,17.0,4061959341.0,0.0,2057.0,11385.0,400.0,2088.0,0.0,2588692332.0,1000.3083130000001,2
3.00113415,91379303.0,1211341010.0,851666132.0,76334.0,6915.0,60402330.0,2367.0,16658280.0,7448190.0,7496097.0,607666178.0,99558874.0,9692.0,77161836.0,0.0,1000.293656,2588545230.0,875903.0,1088.0,855360778.0,2069.0,25.0,4048767276.0,0.0,2047.0,5340.0,264.0,2070.0,0.0,2588838630.0,1000.2919730000001,2
4.001390999,91298782.0,1210285676.0,851813793.0,75835.0,5336.0,60365640.0,2288.0,16661521.0,7801368.0,7809368.0,607621781.0,99545428.0,8342.0,77128859.0,1.0,1000.228167,2588177817.0,1478419.0,1612.0,850940332.0,1216.0,9.0,4044840507.0,0.0,1985.0,3529.0,375.0,2138.0,0.0,2588514912.0,1000.2281109999999,2
5.001678109,90934881.0,1212802368.0,852849756.0,81997.0,4562.0,60376851.0,2377.0,16646064.0,7146935.0,7151672.0,607934265.0,99555972.0,6730.0,77207385.0,0.0,1000.2755810000001,2588475411.0,1476689.0,788.0,852442925.0,1807.0,58.0,4051155830.0,20.0,2232.0,2376.0,338.0,2301.0,20.0,2588755744.0,1000.2756539999999,2
6.001950842,91328938.0,1209381646.0,853787923.0,78321.0,4314.0,60383777.0,2359.0,16647971.0,6738947.0,6840320.0,608695781.0,99552532.0,6378.0,77228437.0,0.0,1000.2524050000001,2588393805.0,1102769.0,1597.0,854049896.0,2732.0,72.0,4055238903.0,0.0,2049.0,2056.0,306.0,2028.0,0.0,2588679913.0,1000.252292,2
7.002227006,91371872.0,1211606886.0,853514543.0,76326.0,3848.0,60397455.0,2380.0,16671726.0,7039107.0,7179513.0,607872353.0,99554864.0,6322.0,77207892.0,0.0,1000.262157,2588451249.0,1068460.0,1211.0,855510798.0,2073.0,77.0,4050790338.0,0.0,1938.0,1707.0,338.0,2113.0,0.0,2588714983.0,1000.262036,2
8.00248472,91370031.0,1213074115.0,855257519.0,77519.0,3813.0,60449243.0,2342.0,16677727.0,7265862.0,6914356.0,608995728.0,99552110.0,6002.0,77176112.0,1.0,1000.2359640000001,2588368375.0,1175256.0,1588.0,857197133.0,2132.0,8735.0,4064121651.0,0.0,2326.0,1482.0,314.0,1889.0,0.0,2588676150.0,1000.2362730000001,2
9.002777365,91369083.0,1210688714.0,856728625.0,76746.0,3701.0,60371432.0,2543.0,16679905.0,6919219.0,6988349.0,608349912.0,99553530.0,6222.0,77222003.0,0.0,1000.26145,2588409714.0,1129443.0,764.0,852209612.0,1952.0,46.0,4054154558.0,0.0,1987.0,1445.0,498.0,2164.0,0.0,2588679792.0,1000.26127,2
10.003050796,91385391.0,1209601008.0,853087042.0,75633.0,3557.0,60440650.0,2630.0,16676487.0,7028192.0,7217501.0,609862669.0,99549788.0,6437.0,77188572.0,0.0,1000.273069,2588327248.0,1282952.0,1313.0,854330661.0,2107.0,42.0,4061590605.0,0.0,1969.0,1207.0,525.0,2088.0,0.0,2588632259.0,1000.2733910000001,2
11.003328119,91379398.0,1211623830.0,852419991.0,76783.0,3426.0,60362090.0,2592.0,16639161.0,6816117.0,6747147.0,609404651.0,99559357.0,5829.0,77182689.0,0.0,1000.261758,2588561382.0,1002116.0,1150.0,853628560.0,7418.0,8.0,4063090183.0,0.0,2275.0,1333.0,542.0,2126.0,0.0,2588828885.0,1000.2616630000001,2
12.003581645999999,91370528.0,1208873278.0,852605620.0,78614.0,3640.0,60401737.0,2612.0,16674000.0,7034287.0,7185050.0,608298971.0,99550928.0,5937.0,77192767.0,1.0,1000.230483,2588345324.0,1238592.0,611.0,853774443.0,28947.0,19.0,4054561768.0,0.0,2028.0,1338.0,450.0,2076.0,0.0,2588634202.0,1000.23061,2
13.003858615,91349825.0,1208728190.0,852101472.0,75582.0,3226.0,60448466.0,2551.0,16681361.0,7626015.0,7545083.0,607356363.0,99555170.0,5990.0,77189532.0,0.0,1000.2649039999999,2588457454.0,959554.0,875.0,856878032.0,31815.0,50.0,4052797790.0,0.0,2026.0,1038.0,488.0,2051.0,0.0,2588735776.0,1000.264846,2
